



Advanced Model: 

Advanced Model with 1 hours in block: 

Training Started
Epoch 16 Completed	 Loss 2.671	 Train Accuracy: 0.923	 Test Accuracy: 0.946
Epoch 17 Completed	 Loss 2.607	 Train Accuracy: 0.925	 Test Accuracy: 0.946
Epoch 18 Completed	 Loss 2.560	 Train Accuracy: 0.927	 Test Accuracy: 0.946
Epoch 19 Completed	 Loss 2.521	 Train Accuracy: 0.928	 Test Accuracy: 0.941
Epoch 20 Completed	 Loss 2.488	 Train Accuracy: 0.929	 Test Accuracy: 0.935
Epoch 21 Completed	 Loss 2.473	 Train Accuracy: 0.930	 Test Accuracy: 0.935
Epoch 22 Completed	 Loss 2.440	 Train Accuracy: 0.931	 Test Accuracy: 0.943
Epoch 23 Completed	 Loss 2.407	 Train Accuracy: 0.932	 Test Accuracy: 0.941
Epoch 24 Completed	 Loss 2.383	 Train Accuracy: 0.932	 Test Accuracy: 0.902
Epoch 25 Completed	 Loss 2.370	 Train Accuracy: 0.933	 Test Accuracy: 0.935
Epoch 26 Completed	 Loss 2.346	 Train Accuracy: 0.933	 Test Accuracy: 0.941
Epoch 27 Completed	 Loss 2.317	 Train Accuracy: 0.934	 Test Accuracy: 0.951
Epoch 28 Completed	 Loss 2.290	 Train Accuracy: 0.935	 Test Accuracy: 0.946
Epoch 29 Completed	 Loss 2.265	 Train Accuracy: 0.936	 Test Accuracy: 0.951
Epoch 30 Completed	 Loss 2.239	 Train Accuracy: 0.937	 Test Accuracy: 0.930
Epoch 31 Completed	 Loss 2.222	 Train Accuracy: 0.937	 Test Accuracy: 0.919
Epoch 32 Completed	 Loss 2.210	 Train Accuracy: 0.938	 Test Accuracy: 0.951
Epoch 33 Completed	 Loss 2.188	 Train Accuracy: 0.938	 Test Accuracy: 0.956
Epoch 34 Completed	 Loss 2.172	 Train Accuracy: 0.939	 Test Accuracy: 0.962
Epoch 35 Completed	 Loss 2.153	 Train Accuracy: 0.940	 Test Accuracy: 0.962
Epoch 36 Completed	 Loss 2.147	 Train Accuracy: 0.940	 Test Accuracy: 0.962
Epoch 37 Completed	 Loss 2.137	 Train Accuracy: 0.940	 Test Accuracy: 0.945
Epoch 38 Completed	 Loss 2.118	 Train Accuracy: 0.941	 Test Accuracy: 0.951
Epoch 39 Completed	 Loss 2.103	 Train Accuracy: 0.941	 Test Accuracy: 0.952
Epoch 40 Completed	 Loss 2.085	 Train Accuracy: 0.942	 Test Accuracy: 0.940
Epoch 41 Completed	 Loss 2.066	 Train Accuracy: 0.942	 Test Accuracy: 0.951
Epoch 42 Completed	 Loss 2.049	 Train Accuracy: 0.943	 Test Accuracy: 0.956
Epoch 43 Completed	 Loss 2.030	 Train Accuracy: 0.943	 Test Accuracy: 0.952
Epoch 44 Completed	 Loss 2.011	 Train Accuracy: 0.944	 Test Accuracy: 0.962
Epoch 45 Completed	 Loss 1.991	 Train Accuracy: 0.944	 Test Accuracy: 0.951
Epoch 46 Completed	 Loss 1.970	 Train Accuracy: 0.945	 Test Accuracy: 0.962
Epoch 47 Completed	 Loss 1.954	 Train Accuracy: 0.945	 Test Accuracy: 0.951
Epoch 48 Completed	 Loss 1.941	 Train Accuracy: 0.945	 Test Accuracy: 0.946
Epoch 49 Completed	 Loss 1.933	 Train Accuracy: 0.945	 Test Accuracy: 0.902
Epoch 50 Completed	 Loss 1.937	 Train Accuracy: 0.945	 Test Accuracy: 0.951

Advanced Model with 3 hours in block: 

Training Started
Epoch 1 Completed	 Loss 6.956	 Train Accuracy: 0.769	 Test Accuracy: 0.848
Epoch 2 Completed	 Loss 4.962	 Train Accuracy: 0.804	 Test Accuracy: 0.837
Epoch 3 Completed	 Loss 4.237	 Train Accuracy: 0.814	 Test Accuracy: 0.848
Epoch 4 Completed	 Loss 3.874	 Train Accuracy: 0.821	 Test Accuracy: 0.848
Epoch 5 Completed	 Loss 3.617	 Train Accuracy: 0.825	 Test Accuracy: 0.837
Epoch 6 Completed	 Loss 3.446	 Train Accuracy: 0.828	 Test Accuracy: 0.848
Epoch 7 Completed	 Loss 3.314	 Train Accuracy: 0.831	 Test Accuracy: 0.839
Epoch 8 Completed	 Loss 3.209	 Train Accuracy: 0.833	 Test Accuracy: 0.837
Epoch 9 Completed	 Loss 3.139	 Train Accuracy: 0.831	 Test Accuracy: 0.848
Epoch 10 Completed	 Loss 3.083	 Train Accuracy: 0.830	 Test Accuracy: 0.839
Epoch 11 Completed	 Loss 3.029	 Train Accuracy: 0.831	 Test Accuracy: 0.848
Epoch 12 Completed	 Loss 3.003	 Train Accuracy: 0.831	 Test Accuracy: 0.848
Epoch 13 Completed	 Loss 2.981	 Train Accuracy: 0.831	 Test Accuracy: 0.839
Epoch 14 Completed	 Loss 2.954	 Train Accuracy: 0.831	 Test Accuracy: 0.839
Epoch 15 Completed	 Loss 2.928	 Train Accuracy: 0.831	 Test Accuracy: 0.848
Epoch 16 Completed	 Loss 2.903	 Train Accuracy: 0.831	 Test Accuracy: 0.842
Epoch 17 Completed	 Loss 2.880	 Train Accuracy: 0.830	 Test Accuracy: 0.839
Epoch 18 Completed	 Loss 2.854	 Train Accuracy: 0.831	 Test Accuracy: 0.839
Epoch 19 Completed	 Loss 2.834	 Train Accuracy: 0.831	 Test Accuracy: 0.837
Epoch 20 Completed	 Loss 2.825	 Train Accuracy: 0.832	 Test Accuracy: 0.839
Epoch 21 Completed	 Loss 2.821	 Train Accuracy: 0.833	 Test Accuracy: 0.839
Epoch 22 Completed	 Loss 2.814	 Train Accuracy: 0.833	 Test Accuracy: 0.848
Epoch 23 Completed	 Loss 2.793	 Train Accuracy: 0.835	 Test Accuracy: 0.922
Epoch 24 Completed	 Loss 2.754	 Train Accuracy: 0.839	 Test Accuracy: 0.950
Epoch 25 Completed	 Loss 2.719	 Train Accuracy: 0.842	 Test Accuracy: 0.892
Epoch 26 Completed	 Loss 2.692	 Train Accuracy: 0.844	 Test Accuracy: 0.914
Epoch 27 Completed	 Loss 2.653	 Train Accuracy: 0.848	 Test Accuracy: 0.914
Epoch 28 Completed	 Loss 2.613	 Train Accuracy: 0.850	 Test Accuracy: 0.917
Epoch 29 Completed	 Loss 2.574	 Train Accuracy: 0.854	 Test Accuracy: 0.947
Epoch 30 Completed	 Loss 2.544	 Train Accuracy: 0.856	 Test Accuracy: 0.881
Epoch 31 Completed	 Loss 2.514	 Train Accuracy: 0.859	 Test Accuracy: 0.908
Epoch 32 Completed	 Loss 2.482	 Train Accuracy: 0.861	 Test Accuracy: 0.947
Epoch 33 Completed	 Loss 2.448	 Train Accuracy: 0.864	 Test Accuracy: 0.947
Epoch 34 Completed	 Loss 2.424	 Train Accuracy: 0.866	 Test Accuracy: 0.941
Epoch 35 Completed	 Loss 2.396	 Train Accuracy: 0.868	 Test Accuracy: 0.919
Epoch 36 Completed	 Loss 2.368	 Train Accuracy: 0.870	 Test Accuracy: 0.947
Epoch 37 Completed	 Loss 2.344	 Train Accuracy: 0.872	 Test Accuracy: 0.922
Epoch 38 Completed	 Loss 2.319	 Train Accuracy: 0.874	 Test Accuracy: 0.951
Epoch 39 Completed	 Loss 2.294	 Train Accuracy: 0.875	 Test Accuracy: 0.951
Epoch 40 Completed	 Loss 2.268	 Train Accuracy: 0.877	 Test Accuracy: 0.941
Epoch 41 Completed	 Loss 2.244	 Train Accuracy: 0.879	 Test Accuracy: 0.957
Epoch 42 Completed	 Loss 2.221	 Train Accuracy: 0.881	 Test Accuracy: 0.951
Epoch 43 Completed	 Loss 2.203	 Train Accuracy: 0.882	 Test Accuracy: 0.957
Epoch 44 Completed	 Loss 2.183	 Train Accuracy: 0.884	 Test Accuracy: 0.958
Epoch 45 Completed	 Loss 2.162	 Train Accuracy: 0.885	 Test Accuracy: 0.893
Epoch 46 Completed	 Loss 2.149	 Train Accuracy: 0.886	 Test Accuracy: 0.941
Epoch 47 Completed	 Loss 2.130	 Train Accuracy: 0.888	 Test Accuracy: 0.962
